State,State Code,Year,Births
Alabama,1,2009,62475
Alabama,1,2010,60050
Alabama,1,2011,59354
Alabama,1,2012,58448
Alabama,1,2013,58167
Alabama,1,2014,59422
Alabama,1,2015,59657
Alabama,1,2016,59151
Alabama,1,2017,58941
Alabama,1,2018,57761
Alabama,1,2019,58615
Alaska,2,2009,11324
Alaska,2,2010,11471
Alaska,2,2011,11456
Alaska,2,2012,11187
Alaska,2,2013,11446
Alaska,2,2014,11392
Alaska,2,2015,11282
Alaska,2,2016,11209
Alaska,2,2017,10445
Alaska,2,2018,10086
Alaska,2,2019,9822
Arizona,4,2009,92798
Arizona,4,2010,87477
Arizona,4,2011,85543
Arizona,4,2012,86441
Arizona,4,2013,85600
Arizona,4,2014,86887
Arizona,4,2015,85351
Arizona,4,2016,84520
Arizona,4,2017,81872
Arizona,4,2018,80723
Arizona,4,2019,79375
Arkansas,5,2009,39808
Arkansas,5,2010,38540
Arkansas,5,2011,38715
Arkansas,5,2012,38347
Arkansas,5,2013,37832
Arkansas,5,2014,38511
Arkansas,5,2015,38886
Arkansas,5,2016,38274
Arkansas,5,2017,37520
Arkansas,5,2018,37018
Arkansas,5,2019,36564
California,6,2009,527020
California,6,2010,510198
California,6,2011,502120
California,6,2012,503755
California,6,2013,494705
California,6,2014,502879
California,6,2015,491748
California,6,2016,488827
California,6,2017,471658
California,6,2018,454920
California,6,2019,446479
Colorado,8,2009,68628
Colorado,8,2010,66355
Colorado,8,2011,65055
Colorado,8,2012,65187
Colorado,8,2013,65007
Colorado,8,2014,65830
Colorado,8,2015,66581
Colorado,8,2016,66613
Colorado,8,2017,64382
Colorado,8,2018,62885
Colorado,8,2019,62869
Connecticut,9,2009,38896
Connecticut,9,2010,37708
Connecticut,9,2011,37281
Connecticut,9,2012,36539
Connecticut,9,2013,36085
Connecticut,9,2014,36285
Connecticut,9,2015,35746
Connecticut,9,2016,36015
Connecticut,9,2017,35221
Connecticut,9,2018,34725
Connecticut,9,2019,34258
Delaware,10,2009,11559
Delaware,10,2010,11364
Delaware,10,2011,11257
Delaware,10,2012,11023
Delaware,10,2013,10831
Delaware,10,2014,10972
Delaware,10,2015,11166
Delaware,10,2016,10992
Delaware,10,2017,10855
Delaware,10,2018,10621
Delaware,10,2019,10562
District of Columbia,11,2009,9040
District of Columbia,11,2010,9165
District of Columbia,11,2011,9295
District of Columbia,11,2012,9399
District of Columbia,11,2013,9288
District of Columbia,11,2014,9509
District of Columbia,11,2015,9578
District of Columbia,11,2016,9858
District of Columbia,11,2017,9560
District of Columbia,11,2018,9212
District of Columbia,11,2019,9079
Florida,12,2009,221394
Florida,12,2010,214590
Florida,12,2011,213414
Florida,12,2012,213148
Florida,12,2013,215407
Florida,12,2014,219991
Florida,12,2015,224269
Florida,12,2016,225022
Florida,12,2017,223630
Florida,12,2018,221542
Florida,12,2019,220002
Georgia,13,2009,141377
Georgia,13,2010,133947
Georgia,13,2011,132409
Georgia,13,2012,130280
Georgia,13,2013,128748
Georgia,13,2014,130946
Georgia,13,2015,131404
Georgia,13,2016,130042
Georgia,13,2017,129243
Georgia,13,2018,126172
Georgia,13,2019,126371
Hawaii,15,2009,18887
Hawaii,15,2010,18988
Hawaii,15,2011,18956
Hawaii,15,2012,18980
Hawaii,15,2013,18987
Hawaii,15,2014,18550
Hawaii,15,2015,18420
Hawaii,15,2016,18059
Hawaii,15,2017,17517
Hawaii,15,2018,16972
Hawaii,15,2019,16797
Idaho,16,2009,23737
Idaho,16,2010,23198
Idaho,16,2011,22305
Idaho,16,2012,22963
Idaho,16,2013,22383
Idaho,16,2014,22876
Idaho,16,2015,22827
Idaho,16,2016,22482
Idaho,16,2017,22181
Idaho,16,2018,21403
Idaho,16,2019,22063
Illinois,17,2009,171163
Illinois,17,2010,165200
Illinois,17,2011,161312
Illinois,17,2012,159160
Illinois,17,2013,156931
Illinois,17,2014,158556
Illinois,17,2015,158116
Illinois,17,2016,154445
Illinois,17,2017,149390
Illinois,17,2018,144815
Illinois,17,2019,140128
Indiana,18,2009,86673
Indiana,18,2010,83940
Indiana,18,2011,83701
Indiana,18,2012,83227
Indiana,18,2013,83102
Indiana,18,2014,84080
Indiana,18,2015,84040
Indiana,18,2016,83091
Indiana,18,2017,82170
Indiana,18,2018,81646
Indiana,18,2019,80859
Iowa,19,2009,39701
Iowa,19,2010,38719
Iowa,19,2011,38214
Iowa,19,2012,38702
Iowa,19,2013,39094
Iowa,19,2014,39687
Iowa,19,2015,39482
Iowa,19,2016,39403
Iowa,19,2017,38430
Iowa,19,2018,37785
Iowa,19,2019,37649
Kansas,20,2009,41396
Kansas,20,2010,40649
Kansas,20,2011,39642
Kansas,20,2012,40341
Kansas,20,2013,38839
Kansas,20,2014,39223
Kansas,20,2015,39154
Kansas,20,2016,38053
Kansas,20,2017,36519
Kansas,20,2018,36261
Kansas,20,2019,35395
Kentucky,21,2009,57551
Kentucky,21,2010,55784
Kentucky,21,2011,55370
Kentucky,21,2012,55758
Kentucky,21,2013,55686
Kentucky,21,2014,56170
Kentucky,21,2015,55971
Kentucky,21,2016,55449
Kentucky,21,2017,54752
Kentucky,21,2018,53922
Kentucky,21,2019,53069
Louisiana,22,2009,64973
Louisiana,22,2010,62379
Louisiana,22,2011,61888
Louisiana,22,2012,62642
Louisiana,22,2013,63201
Louisiana,22,2014,64497
Louisiana,22,2015,64692
Louisiana,22,2016,63178
Louisiana,22,2017,61018
Louisiana,22,2018,59615
Louisiana,22,2019,58941
Maine,23,2009,13470
Maine,23,2010,12970
Maine,23,2011,12704
Maine,23,2012,12798
Maine,23,2013,12776
Maine,23,2014,12698
Maine,23,2015,12607
Maine,23,2016,12705
Maine,23,2017,12298
Maine,23,2018,12311
Maine,23,2019,11779
Maryland,24,2009,75059
Maryland,24,2010,73801
Maryland,24,2011,73093
Maryland,24,2012,72883
Maryland,24,2013,71953
Maryland,24,2014,73921
Maryland,24,2015,73616
Maryland,24,2016,73136
Maryland,24,2017,71641
Maryland,24,2018,71080
Maryland,24,2019,70178
Massachusetts,25,2009,75016
Massachusetts,25,2010,72865
Massachusetts,25,2011,73166
Massachusetts,25,2012,72439
Massachusetts,25,2013,71788
Massachusetts,25,2014,71908
Massachusetts,25,2015,71492
Massachusetts,25,2016,71317
Massachusetts,25,2017,70702
Massachusetts,25,2018,69109
Massachusetts,25,2019,69117
Michigan,26,2009,117294
Michigan,26,2010,114531
Michigan,26,2011,114008
Michigan,26,2012,113091
Michigan,26,2013,113489
Michigan,26,2014,114375
Michigan,26,2015,113312
Michigan,26,2016,113315
Michigan,26,2017,111426
Michigan,26,2018,110032
Michigan,26,2019,107886
Minnesota,27,2009,70646
Minnesota,27,2010,68610
Minnesota,27,2011,68409
Minnesota,27,2012,68772
Minnesota,27,2013,69159
Minnesota,27,2014,69904
Minnesota,27,2015,69834
Minnesota,27,2016,69749
Minnesota,27,2017,68595
Minnesota,27,2018,67344
Minnesota,27,2019,66027
Mississippi,28,2009,42901
Mississippi,28,2010,40036
Mississippi,28,2011,39860
Mississippi,28,2012,38669
Mississippi,28,2013,38634
Mississippi,28,2014,38736
Mississippi,28,2015,38394
